_id,link,company,version,created_at,updated_at,update_at,add_date,address,full_address,city,region,longitude,latitude,price,revenu,plex-revenue,plex-revenu,municipal_evaluation_building,municipal_evaluation_land,municipal_evaluation_total,municipal_taxes,school_taxes,municipal_tax,school_tax,surface,living_area,construction_year,year_built,lot_size,type,bedrooms,nb_bedroom,bathrooms,nb_bathroom,unites,residential_units,commercial_units,parking,basement,building_style,depenses,vendue,description,img_src,image,images,extraction_metadata,municipal_evaluation_year
PROP_000000,https://example.com/property/0,RE/MAX,v2,2025-02-12 12:48:58.427263,2025-02-18 12:48:58.427263,2025-02-28 12:48:58.427263,2025-02-16 12:48:58.427263,9794 Avenue Montréal,"9794 Avenue Montréal, QC",Montréal,Laval,-69.92317657832679,47.34041626087403,1168054,60708.0,51216.0,104496.0,923412.8362519298,286208.1065062154,1209620.9427581453,7526,2188,7462,2039,2663,2779,1951,1952,4214.906748025451,Appartement,2,3,2,2,1,1,1,2,Non,Moderne,20172.0,False,Belle propriété appartement à Montréal avec 2 chambres et 2 salles de bain.,https://example.com/images/property_0.jpg,https://example.com/images/property_0.jpg,['https://example.com/images/property_0.jpg'],"{'source': 'RE/MAX', 'extraction_date': '2025-02-12T12:48:58.427263', 'confidence': 0.9863711893220402}",2020
PROP_000001,https://example.com/property/1,RE/MAX,v2,2024-12-04 12:48:58.427305,2024-12-21 12:48:58.427305,2024-12-24 12:48:58.427305,2024-12-06 12:48:58.427305,7245 Avenue Laval,"7245 Avenue Laval, QC",Laval,Outaouais,-70.91885492955322,55.72613248163857,682621,,,68208.0,787399.7687638996,155391.0342005211,942790.8029644206,5069,1966,4914,2067,3961,3986,1999,1997,9747.458974590209,Condo,3,3,4,5,1,1,0,3,Oui,Moderne,,False,Belle propriété condo à Laval avec 3 chambres et 4 salles de bain.,https://example.com/images/property_1.jpg,https://example.com/images/property_1.jpg,['https://example.com/images/property_1.jpg'],"{'source': 'RE/MAX', 'extraction_date': '2024-12-04T12:48:58.427305', 'confidence': 0.8196261861883846}",2019
PROP_000002,https://example.com/property/2,DuProprio,v2,2025-07-03 12:48:58.427331,2025-07-29 12:48:58.427331,2025-07-17 12:48:58.427331,2025-07-04 12:48:58.427331,5527 Avenue Sherbrooke,"5527 Avenue Sherbrooke, QC",Sherbrooke,Capitale-Nationale,-74.16947150089167,56.999171923590254,741552,60948.0,61560.0,33156.0,805367.0168452011,298698.86462104775,1104065.881466249,7973,3455,8130,3449,1811,1646,1978,1980,5185.849954659902,Duplex,6,7,3,2,7,7,0,0,Non,Moderne,26484.0,False,Belle propriété duplex à Sherbrooke avec 6 chambres et 3 salles de bain.,https://example.com/images/property_2.jpg,https://example.com/images/property_2.jpg,['https://example.com/images/property_2.jpg'],"{'source': 'DuProprio', 'extraction_date': '2025-07-03T12:48:58.427331', 'confidence': 0.9944622875716731}",2024
PROP_000003,https://example.com/property/3,Royal LePage,v3,2024-12-07 12:48:58.427356,2024-12-26 12:48:58.427356,2025-01-06 12:48:58.427356,2024-12-03 12:48:58.427356,8833 Avenue Gatineau,"8833 Avenue Gatineau, QC",Gatineau,Outaouais,-71.54712468780572,51.246394241729455,625005,72144.0,,,693916.2827377876,158487.2663474907,852403.5490852783,6826,3744,6984,3689,4587,4588,2000,1998,10350.442968297204,Condo,4,5,3,2,1,1,1,0,Oui,Victorian,15492.0,False,Belle propriété condo à Gatineau avec 4 chambres et 3 salles de bain.,https://example.com/images/property_3.jpg,https://example.com/images/property_3.jpg,['https://example.com/images/property_3.jpg'],"{'source': 'Royal LePage', 'extraction_date': '2024-12-07T12:48:58.427356', 'confidence': 0.8803322685712944}",2022
PROP_000004,https://example.com/property/4,Centris,v1,2024-10-07 12:48:58.427378,2024-10-11 12:48:58.427378,2024-10-19 12:48:58.427378,2024-10-02 12:48:58.427378,4377 Rue Sherbrooke,"4377 Rue Sherbrooke, QC",Sherbrooke,Montérégie,-66.23989139028794,51.52796529080424,1542651,88704.0,,95976.0,1799853.0916531617,640156.2143072366,2440009.305960398,4395,1395,4865,1391,3640,3446,2002,2004,7313.40678367707,Appartement,6,6,2,2,1,1,0,2,Oui,Victorian,32244.0,False,Belle propriété appartement à Sherbrooke avec 6 chambres et 2 salles de bain.,https://example.com/images/property_4.jpg,https://example.com/images/property_4.jpg,['https://example.com/images/property_4.jpg'],"{'source': 'Centris', 'extraction_date': '2024-10-07T12:48:58.427378', 'confidence': 0.8490768243361682}",2019
PROP_000005,https://example.com/property/5,RE/MAX,v2,2025-07-29 12:48:58.427400,2025-08-10 12:48:58.427400,2025-08-04 12:48:58.427400,2025-08-01 12:48:58.427400,2070 Boulevard Sherbrooke,"2070 Boulevard Sherbrooke, QC",Sherbrooke,Montérégie,-71.65141550218746,55.903674604553494,490643,23880.0,80256.0,,562034.9110970998,189738.7134567018,751773.6245538016,3359,3828,3502,3922,3730,3729,1957,1956,6559.755444027902,Maison unifamiliale,4,5,4,3,1,1,0,1,Partiel,Moderne,,False,Belle propriété maison unifamiliale à Sherbrooke avec 4 chambres et 4 salles de bain.,https://example.com/images/property_5.jpg,https://example.com/images/property_5.jpg,['https://example.com/images/property_5.jpg'],"{'source': 'RE/MAX', 'extraction_date': '2025-07-29T12:48:58.427400', 'confidence': 0.8621276920371064}",2023
PROP_000006,https://example.com/property/6,Centris,v3,2025-07-06 12:48:58.427421,2025-07-16 12:48:58.427421,2025-07-23 12:48:58.427421,2025-07-02 12:48:58.427421,7750 Avenue Longueuil,"7750 Avenue Longueuil, QC",Longueuil,Outaouais,-72.89702300590733,48.82048273819709,776538,,,,560263.4771775904,195268.3448087087,755531.821986299,3032,2499,2644,2667,2904,2870,1985,1987,7410.652956302754,Duplex,6,7,4,5,1,1,0,0,Non,Moderne,,True,Belle propriété duplex à Longueuil avec 6 chambres et 4 salles de bain.,https://example.com/images/property_6.jpg,https://example.com/images/property_6.jpg,['https://example.com/images/property_6.jpg'],"{'source': 'Centris', 'extraction_date': '2025-07-06T12:48:58.427421', 'confidence': 0.848959375064922}",2020
PROP_000007,https://example.com/property/7,Centris,v1,2024-09-27 12:48:58.427442,2024-09-27 12:48:58.427442,2024-10-08 12:48:58.427442,2024-09-26 12:48:58.427442,1380 Boulevard Laval,"1380 Boulevard Laval, QC",Laval,Capitale-Nationale,-63.167465322042425,59.42135803579754,1701184,,57096.0,34728.0,1994674.4817325368,517423.6438142898,2512098.1255468265,7798,3414,7928,3434,937,1083,1988,1986,2308.3480944488465,Maison unifamiliale,5,4,4,5,1,1,2,4,Oui,Contemporain,24936.0,True,Belle propriété maison unifamiliale à Laval avec 5 chambres et 4 salles de bain.,https://example.com/images/property_7.jpg,https://example.com/images/property_7.jpg,['https://example.com/images/property_7.jpg'],"{'source': 'Centris', 'extraction_date': '2024-09-27T12:48:58.427442', 'confidence': 0.9942132067180123}",2021
PROP_000008,https://example.com/property/8,DuProprio,v2,2025-06-25 12:48:58.427465,2025-07-07 12:48:58.427465,2025-07-09 12:48:58.427465,2025-06-30 12:48:58.427465,9882 Avenue Montréal,"9882 Avenue Montréal, QC",Montréal,Montérégie,-10.16134238935689,-89.33955203612835,1057075,20748.0,43344.0,99252.0,1352517.7626957558,470944.6025850107,1823462.3652807665,2769,3007,2922,2887,3040,2851,1985,1985,8871.092796284478,Maison unifamiliale,2,2,3,3,1,1,0,2,Non,Moderne,17808.0,False,Belle propriété maison unifamiliale à Montréal avec 2 chambres et 3 salles de bain.,https://example.com/images/property_8.jpg,https://example.com/images/property_8.jpg,['https://example.com/images/property_8.jpg'],"{'source': 'DuProprio', 'extraction_date': '2025-06-25T12:48:58.427465', 'confidence': 0.9384254457452477}",2019
PROP_000009,https://example.com/property/9,RE/MAX,v3,2025-04-24 12:48:58.427487,2025-05-08 12:48:58.427487,2025-04-27 12:48:58.427487,2025-04-27 12:48:58.427487,3343 Boulevard Gatineau,"3343 Boulevard Gatineau, QC",Gatineau,Outaouais,-74.6772960597815,49.21662717329658,1479759,32340.0,89256.0,,1179799.513381461,303421.63865021645,1483221.152031677,5250,3584,5052,3738,4122,4050,1983,1985,9475.264777223503,Condo,2,1,3,4,1,1,0,0,Non,Victorian,18156.0,False,Belle propriété condo à Gatineau avec 2 chambres et 3 salles de bain.,https://example.com/images/property_9.jpg,https://example.com/images/property_9.jpg,['https://example.com/images/property_9.jpg'],"{'source': 'RE/MAX', 'extraction_date': '2025-04-24T12:48:58.427487', 'confidence': 0.8275718966425228}",2024
